ï»¿id,income,health_cover,house,wc,phone,car,consumption
1001892,6,1,0,1,1,0,1
1001903,4,1,0,0,1,1,0
1001915,6,1,1,1,1,0,0
1001926,5,1,1,1,1,0,0
1001932,2,1,0,0,1,1,0
1001944,4,1,1,1,1,0,1
1001959,6,1,0,1,1,0,0
1001967,2,1,1,0,0,0,0
1001971,5,1,0,1,1,1,0
1001980,5,1,1,0,1,1,0
1001998,4,0,0,1,1,0,0
1002007,2,1,0,0,0,0,0
1002018,2,1,0,0,0,0,0
1002029,5,1,1,1,1,1,0
1002034,6,1,1,1,1,1,0
1002041,4,1,0,1,1,1,0
1002052,4,1,0,1,1,1,0
1002065,4,1,1,1,1,0,0
1002076,5,1,1,1,1,1,0
1002083,5,1,1,1,1,1,0
1002090,5,1,0,0,1,1,0
1002104,4,1,1,0,1,0,0
1002119,5,1,0,1,1,0,1
1002128,4,1,1,1,1,1,0
1002137,4,1,1,1,1,1,0
1002143,6,1,1,1,1,1,0
1002155,6,1,1,1,1,1,0
1002162,3,1,1,0,1,0,0
1002170,4,1,0,0,0,1,0
1002181,5,1,0,1,1,0,0
1002196,5,1,1,0,1,0,0
1002205,4,1,0,1,1,0,0
1002210,5,1,0,1,1,0,0
1002222,6,0,1,1,1,1,1
1002231,3,1,0,0,1,1,0
1002246,4,1,1,1,1,0,1
1002254,5,1,1,1,1,1,0
1002268,4,1,0,0,0,1,0
1002279,5,1,1,1,1,1,0
1002287,3,0,0,1,1,0,0
1002293,5,1,0,1,1,0,1
1002302,4,1,0,0,1,1,0
1002316,6,1,1,1,1,1,0
1002325,4,1,1,0,1,1,0
1002333,6,1,1,1,1,1,0
1002340,2,1,0,1,0,0,0
1002357,6,1,0,1,1,0,1
1002369,3,1,0,0,1,1,0
1002378,4,1,0,0,1,1,0
1002384,2,0,0,0,1,0,0
1002391,4,1,0,0,1,1,0
1002406,3,0,1,0,0,1,0
1002414,2,0,0,0,1,0,0
1002423,3,0,0,0,1,0,0
1002438,3,0,0,0,1,0,0
1002445,2,1,0,0,0,0,0
1002450,2,0,0,0,1,0,0
1002461,4,1,1,0,1,1,0
1002477,6,1,1,1,1,1,0
1002489,5,1,0,0,1,1,0
1002492,3,1,0,0,1,1,0
1002509,3,0,0,0,1,1,0
1002511,4,1,1,1,1,1,0
1002527,2,1,0,0,0,0,0
1002530,3,1,0,0,0,1,0
1002548,3,1,0,0,1,0,0
1002553,3,1,0,0,1,0,0
1002566,4,1,0,0,1,1,0
1002575,4,1,0,1,1,0,0
1002582,4,1,1,0,1,0,0
1002594,4,1,0,0,1,0,0
1002608,1,0,0,0,0,0,0
1002613,1,0,1,0,0,0,0
1002624,2,1,1,0,1,0,0
1002636,6,1,1,1,1,1,0
1002649,4,1,1,0,1,0,0
1002651,6,1,1,1,1,1,1
1002660,4,1,0,0,1,0,0
1002672,6,0,1,0,1,1,0
1002685,4,1,0,1,1,0,0
1002697,5,1,1,1,1,1,0
1002703,4,0,1,0,1,1,0
1002715,3,0,0,1,1,0,0
1002726,5,1,1,1,1,0,0
1002732,3,1,0,0,1,1,0
1002744,6,1,1,1,1,1,1
1002759,5,1,1,1,1,1,0
1002767,5,1,1,1,1,1,0
1002771,3,1,0,0,1,1,0
1002780,2,1,0,0,1,0,0
1002798,4,0,0,0,1,1,1
1002800,3,1,0,0,1,1,0
1002817,6,1,1,1,1,0,0
1002821,1,1,1,0,0,0,0
1002839,4,1,1,1,1,1,0
1002842,3,1,0,0,1,0,0
1002856,3,0,1,1,1,0,0
1002863,5,1,0,1,1,0,0
1002874,4,1,0,0,1,1,0
1002888,2,1,1,0,0,0,0
1002895,2,0,0,1,1,0,0
1002901,5,1,0,0,1,1,0
1002912,4,1,0,0,1,1,0
1002920,5,1,1,0,1,1,0
1002935,5,1,0,0,1,1,0
1002947,3,1,0,0,1,1,0
1002958,4,1,1,1,1,0,0
1002964,4,0,0,0,1,1,0
1002973,3,1,0,0,1,0,0
1002986,4,1,0,0,1,0,0
1002999,6,1,1,1,1,1,1
1003006,3,0,0,0,1,0,0
1003014,5,1,0,1,1,0,1
1003023,4,1,0,0,1,1,1
1003038,4,0,1,0,1,0,0
1003045,5,1,1,0,1,1,0
1003050,4,1,1,1,1,0,0
1003061,3,1,0,0,0,0,0
1003077,2,1,0,0,1,1,0
1003089,2,1,0,0,1,1,0
1003092,4,1,0,0,1,1,0
1003108,3,1,0,1,1,0,1
1003113,4,0,1,0,1,0,0
1003124,5,1,0,0,1,1,0
1003136,6,1,1,1,1,1,0
1003149,6,0,1,1,1,1,0
1003151,6,1,1,1,1,1,0
1003160,5,1,1,1,1,1,1
1003172,5,1,0,1,1,0,0
1003185,4,1,0,0,1,0,1
1003197,2,1,1,1,0,0,0
1003201,5,1,0,0,1,0,0
1003212,4,1,1,0,1,0,0
1003220,5,0,0,0,1,0,0
1003235,6,1,0,1,1,0,0
1003247,5,1,1,1,1,0,1
1003258,5,1,0,1,1,0,0
1003264,2,1,1,0,0,0,0
1003273,2,0,0,0,0,0,0
1003286,4,1,0,0,1,1,0
1003299,4,0,0,1,1,0,0
1003300,3,0,0,0,1,0,0
1003317,3,0,1,1,1,0,0
1003321,5,1,1,1,1,1,0
1003339,3,1,0,0,0,0,0
1003342,4,1,0,0,1,1,0
1003356,6,1,1,1,1,1,0
1003363,5,1,1,1,1,1,0
1003374,4,1,1,1,1,0,0
1003388,6,1,0,0,1,1,1
1003395,6,1,1,1,1,1,1
1003407,5,1,1,0,1,1,0
1003418,3,1,1,1,0,0,0
1003429,3,1,0,0,1,1,0
1003434,3,1,0,0,1,1,0
1003441,5,1,0,1,1,1,0
1003452,4,1,0,1,1,1,0
1003465,4,1,1,1,1,0,0
1003476,4,1,1,0,1,0,0
1003483,4,1,0,1,1,0,0
1003490,6,1,1,1,1,1,0
1003503,3,1,0,0,1,0,0
